0.3	4200	9166.67
0.35	4100	6734.69
0.4	3500	5156.25
0.45	3200	4074.07
0.5	2400	3300.00
0.55	1900	2727.27
0.6	1700	2291.67
0.65	1500	1952.66
0.7	1400	1683.67
0.75	1250	1466.67
0.8	1100	1289.06
0.85	1000	1141.87
0.9	900	1018.52
0.95	800	914.13
1	700	825.00
1.05	700	748.30
1.1	600	681.82
1.15	500	623.82
1.2	500	572.92
1.25	490	528.00
1.3	460	488.17
1.35	420	452.67
1.4	390	420.92
1.45	350	392.39
1.5	340	366.67
1.55	320	343.39
1.6	320	322.27
1.65	300	303.03
1.7	290	285.47
1.75	270	269.39
1.8	260	254.63
1.85	250	241.05
1.9	240	228.53
